Nome,Genero,Data_de_Nascimento,NIF,Morada
Henrique,M,2001-02-24,189076543,viana
Joana,F,2000-10-13,392912738,braga
Hugo,M,2001-09-12,475287345,porto
Maria,F,2000-07-05,382837534,gota
Telmo,M,1999-02-20,653123939,peoes
Ana,F,1995-06-12,123456789,lisboa
Pedro,M,1998-09-30,987654321,aveiro
Marta,F,1997-03-25,456789123,coimbra
Rui,M,1996-12-01,321654987,faro
Sara,F,2002-11-08,567891234,braganca
Manuel,M,1985-04-20,876543210,leiria
joao,F,1992-08-15,109283746,amadora
Jorge,M,1991-01-10,203948576,evora
Carolina,F,1994-07-25,576849302,portimao
Ricardo,M,1988-12-05,394857621,funchal
